  Global optimal solution found.
  Objective value:                              137.5095
  Objective bound:                              137.5095
  Infeasibilities:                              0.000000
  Extended solver steps:                               1
  Total solver iterations:                        930998


  Model Title: : LINGO線平衡整數規劃求解模型

                       Variable           Value        Reduced Cost
                         PA6B16        71.20000            0.000000
                          PA7B7        5.120000            0.000000
                          PA7B8        25.12000            0.000000
                          PA7B9        30.77000            0.000000
                         PA7B10        33.88000            0.000000
                         PA7B11        37.63000            0.000000
                         PA7B12        43.28000            0.000000
                         PA7B13        52.50000            0.000000
                         PA7B14        58.46000            0.000000
                         PA7B15        61.04000            0.000000
                         PA7B16        61.14000            0.000000
                          PA8B8        20.00000            0.000000
                          PA8B9        25.65000            0.000000
                         PA8B10        28.76000            0.000000
                         PA8B11        32.51000            0.000000
                         PA8B12        38.16000            0.000000
                         PA8B13        47.38000            0.000000
                         PA8B14        53.34000            0.000000
                         PA8B15        55.92000            0.000000
                         PA8B16        56.02000            0.000000
                          PA9B9        5.650000            0.000000
                         PA9B10        8.760000            0.000000
                         PA9B11        12.51000            0.000000
                         PA9B12        18.16000            0.000000
                         PA9B13        27.38000            0.000000
                         PA9B14        33.34000            0.000000
                         PA9B15        35.92000            0.000000
                         PA9B16        36.02000            0.000000
                        PA10B10        3.110000            0.000000
                        PA10B11        6.860000            0.000000
                        PA10B12        12.51000            0.000000
                        PA10B13        21.73000            0.000000
                        PA10B14        27.69000            0.000000
                        PA10B15        30.27000            0.000000
                        PA10B16        30.37000            0.000000
                        PA11B11        3.750000            0.000000
                        PA11B12        9.400000            0.000000
                        PA11B13        18.62000            0.000000
                        PA11B14        24.58000            0.000000
                        PA11B15        27.16000            0.000000
                        PA11B16        27.26000            0.000000
                        PA12B12        5.650000            0.000000
                        PA12B13        14.87000            0.000000
                        PA12B14        20.83000            0.000000
                        PA12B15        23.41000            0.000000
                        PA12B16        23.51000            0.000000
                        PA13B13        9.220000            0.000000
                        PA13B14        15.18000            0.000000
                        PA13B15        17.76000            0.000000
                        PA13B16        17.86000            0.000000
                        PA14B14        5.960000            0.000000
                        PA14B15        8.540000            0.000000
                        PA14B16        8.640000            0.000000
                        PA15B15        2.580000            0.000000
                        PA15B16        2.680000            0.000000
                        PA16B16       0.1000000            0.000000
                          WA1B1        1.000000            0.000000 
                          FA1B1        0.000000            0.000000
                          WA1B2        4.000000            0.000000
                          FA1B2        1.000000            0.000000
                          WA1B3        1.000000            0.000000
                          FA1B3        0.000000            0.000000
                          WA1B4        0.000000            0.000000
                          FA1B4        0.000000            0.000000
                          WA2B2        0.000000            0.000000
                          FA2B2        0.000000            0.000000
                          WA2B3        0.000000            0.000000
                          FA2B3        0.000000            0.000000
                          WA2B4        0.000000            0.000000
                          FA2B4        0.000000            0.000000
                          WA3B3        0.000000            0.000000
                          FA3B3        0.000000            0.000000
                          WA3B4        0.000000            0.000000
                          FA3B4        0.000000            0.000000
                          WA3B5        4.000000           -34.37739
                          FA3B5        1.000000           -137.5096
                          WA3B6        0.000000            0.000000
                          FA3B6        0.000000            0.000000
                          WA3B7        0.000000            0.000000
                          FA3B7        0.000000            0.000000
                          WA4B4        0.000000            0.000000
                          FA4B4        0.000000            0.000000
                          WA4B5        0.000000            0.000000
                          FA4B5        0.000000            0.000000
                          WA4B6        0.000000            0.000000
                          FA4B6        0.000000            0.000000
                          WA4B7        0.000000            0.000000
                          FA4B7        0.000000            0.000000
                          WA5B5        0.000000            0.000000
                          FA5B5        0.000000            0.000000
                          WA5B6        0.000000            0.000000
                          FA5B6        0.000000            0.000000
                          WA5B7        0.000000            0.000000
                          FA5B7        0.000000            0.000000
                          WA6B6        0.000000            0.000000
                          FA6B6        0.000000            0.000000
                          WA6B7        0.000000            0.000000
                          FA6B7        0.000000            0.000000
                          WA6B8        0.000000            0.000000
                          FA6B8        0.000000            0.000000
                          WA6B9        0.000000            0.000000
                          FA6B9        0.000000            0.000000
                         WA6B10        0.000000            0.000000
                         FA6B10        0.000000            0.000000
                         WA6B11        0.000000            0.000000
                         FA6B11        0.000000            0.000000
                         WA6B12        0.000000            0.000000
                         FA6B12        0.000000            0.000000
                         WA6B13        0.000000            0.000000
                         FA6B13        0.000000            0.000000
                         WA6B14        0.000000            0.000000
                         FA6B14        0.000000            0.000000
                         WA6B15        0.000000            0.000000
                         FA6B15        0.000000            0.000000
                         WA6B16        3.000000            0.000000
                         FA6B16        1.000000            0.000000
                          WA7B7        0.000000            0.000000
                          FA7B7        0.000000            0.000000
                          WA7B8        0.000000            0.000000
                          FA7B8        0.000000            0.000000
                          WA7B9        0.000000            0.000000
                          FA7B9        0.000000            0.000000
                         WA7B10        0.000000            0.000000
                         FA7B10        0.000000            0.000000
                         WA7B11        0.000000            0.000000
                         FA7B11        0.000000            0.000000
                         WA7B12        0.000000            0.000000
                         FA7B12        0.000000            0.000000
                         WA7B13        0.000000            0.000000
                         FA7B13        0.000000            0.000000
                         WA7B14        0.000000            0.000000
                         FA7B14        0.000000            0.000000
                         WA7B15        0.000000            0.000000
                         FA7B15        0.000000            0.000000
                         WA7B16        0.000000            0.000000
                         FA7B16        0.000000            0.000000
                          WA8B8        0.000000            0.000000
                          FA8B8        0.000000            0.000000
                          WA8B9        0.000000            0.000000
                          FA8B9        0.000000            0.000000
                         WA8B10        0.000000            0.000000
                         FA8B10        0.000000            0.000000
                         WA8B11        0.000000            0.000000
                         FA8B11        0.000000            0.000000
                         WA8B12        0.000000            0.000000
                         FA8B12        0.000000            0.000000
                         WA8B13        0.000000            0.000000
                         FA8B13        0.000000            0.000000
                         WA8B14        0.000000            0.000000
                         FA8B14        0.000000            0.000000
                         WA8B15        0.000000            0.000000
                         FA8B15        0.000000            0.000000
                         WA8B16        0.000000            0.000000
                         FA8B16        0.000000            0.000000
                          WA9B9        0.000000            0.000000
                          FA9B9        0.000000            0.000000
                         WA9B10        0.000000            0.000000
                         FA9B10        0.000000            0.000000
                         WA9B11        0.000000            0.000000
                         FA9B11        0.000000            0.000000
                         WA9B12        0.000000            0.000000
                         FA9B12        0.000000            0.000000
                         WA9B13        0.000000            0.000000
                         FA9B13        0.000000            0.000000
                         WA9B14        0.000000            0.000000
                         FA9B14        0.000000            0.000000
                         WA9B15        0.000000            0.000000
                         FA9B15        0.000000            0.000000
                         WA9B16        0.000000            0.000000
                         FA9B16        0.000000            0.000000
                        WA10B10        1.000000            0.000000
                        FA10B10        0.000000            0.000000
                        WA10B11        0.000000            0.000000
                        FA10B11        0.000000            0.000000
                        WA10B12        0.000000            0.000000
                        FA10B12        0.000000            0.000000
